der Dialog, -e	диалог
das Diktat, -e	диктант
der Dienstag, -e	вторник
diktieren	диктовать
der Donnerstag, -e	четверг
die Dose, -n	консервная банка.
dunkel	темный
der Durst (nur Sing.)	жажда
die Dusche, -n	душ
der Dativ, -e	дательный падеж
das Datum (Sing)	дата
dauern	длиться
denken	думать
deshalb	поэтому
die Detailansicht, -en	подробное описание
der Deutschtest, -s	тест по немецкому
der Dezember	декабрь
dick	толстый
das Diplom	диплом
direkt	прямой
die Disko, -s	дискотека
der Doktor, -en	доктор
das Dokument, -e	документ
das Dorf, -..er	деревня
dreimal	трижды
dringend	срочно
die Drogerie, -n	магазин аптекарских и косметических товаров
drüben	внутри
drücken	нажимать
der Drucker,	принтер
das Ei, -er	яйцо
einige	несколько
der Einkauf, -..e	покупка
der Einkaufswagen,..en	тележка для покупок
einkaufen	покупать
die Einladung, -en	приглашение
einmal	один раз
das Elektrogerät, -e	электроприбор
die Eltern (Plural)	родители
die E-Mail, s	электронный адрес
das Ende, -n	конец
endlich	наконец
die Englischkurs, -e	курс английского
Entschuldigen Sie!	Извините
die Entschuldigung, -en	извинение
ergänzen	дополнять
erklären	объяснить
erreichen	достигать
erzählen	рассказывать
essen	естъ (кушать)
der Esstisch, -e	обеденный стол
der Euro, -s	евро
das Europa (nur Sing.)	Европа
die Exkursion, -en	экскурсия
ebenso	также
echt	настоящий
die Ecke, -n	угол
die Ehefrau, -en	жена
das Ehepaar, -e	супружеская пара
der Ehering, -e	обручальное колъцо
eilig	спешный
einfach	простой
der Eingang, -..e	вход
einladen	приглашать
einordnen	подобрать
einsteigen	вставлять
einsetzen	садитъся (в транспорт)
eintragen	вносить
einzeln	отдельный
einziehen	въезжатъ (в квартиру)
das Einzugsdatum (Sing)	дата възда (в квартиру)
der Empfänger,	получатель
eng	узкий
das Englisch	английский язык
entschuldigen	извинять
das Erdgeschoss, -e	нижний этаж
erforderlich	необходимо
erhalten	получать
die Erklärung, -en	объяснение
erlaubt	разрешенный
das Erlebnis, -se	переживание
erledigen	сделать
ersetzen	заменить
erst	только
die/der Erwachsene, -n (ein Erwachsener)	взрослый (ая)
das Essen (Sing)	еда
exquisit	превосходный
fahren	ехать
das Fahrrad, -er	велосипед
falsch	неправильный
die Familie, -n	семья
das Familienfoto, -s	семейное фото
der Familienname, -n	фамилия
der Familienstand (nur Sing.)	семейное положение
die Farbe, -n	цвет
feminin	женский род
der Fernseher,	телевизор
das Fernsehprogramm, -e	телепрограмма
der Fernsehtisch, -e	столик для ТВ
fertig	готовый
das Fieber (nur Sing.)	высокая температура
der Film, -e	фильм
finden	находить
die Firma, die Firmen	фирма
der Fisch, -e	рыба
das Fitness-Studio, -s	фитнесс-студия
die Flasche, -n	бутылка
das Fleisch (nur Sing.)	мясо
der Flur, -e	коридор
der Fluss, -..e	река
die Folge, -n	серия
folgende	следующий
die Form, -en	форма
das Formular, -e	формуляр
das Foto, -s	фото
die Frage, -n	вопрос
der Französischkurs, -e	курс французского
die Frau, -en	женщина
(der) Freitag, -e	пятница
die Freizeit, -en	свободное время
der Freund, -e	друг
freundlich	дружеский
freuen	радовать
die Freundin, -nen	подруга
der Friseursalon, -e	парикмахерская
früh	ранний
der Frühling, -e	весна
der Frühstück, -e	завтрак
frühstücken	завтракать
für	для
der Fußball, -..e	футбол
der Fahrer,	водитель
der Fahrgast, -..e	пассажир
die Fahrkarte, -n	билет
der Fahrkartenautomat, -en	билетный автомат
der Fahrplan, -..e	расписание
die Fahrradmitnahme (Sing)	перевозка велоциседов
die Fahrschule, -n	автошкола
die Fahrt, -en	поездка
das Familienfest, -e	семейный праздник
fast	почти
das Fax, -e	факс
das Faxgerät, -e	факс (прибор)
der Februar	февраль
fehlen	недоставать
fehlend	недостающий
die Feier, -n	праздник
das Fenster,	окно
die Ferien (Sing)	каникулы
fern	дальний
das Fernsehen (Sing)	просмотр телевизора
das Fest, -e	праздник
die Festanstellung, -en	постоянное место
der Finger,	палец
der Fleischverkäufer,	продавец мяса
flexibel	гибкий
fliegen	лететь
der Flug, -..e	полет
die Flugdaten (Plural)	даты полета
das Flugzeug, -e	самолет
folgen	следовать
die Forelle, -n	форель
formell	формально
fragen	спрашивать
frei	свободный
fremd	чужой
die Fremdsprache, -n	иностранный язык
der Frisör, -e	парикмахер
früher	ранее
der Führerschein, -e	водительские права
funktionieren	функционировать
der Fuß, -..e	ступня
ganz	весь
gar keine	совсем никакие
gar nicht	совсем не
gar nichts	совсем ничего
die Garage, -n	гараж
der Garten	сад
geben	давать
geboren	рожденный
gebraucht	подержанный
der Geburtsort, -e	место рождения
der Geburtstag, -e	День рождения
die Geburtstagsparty, -s	вечеринка по случаю дня рождения
gefallen	нравиться
gehen	идти
das Geld (nur Sing.)	деньги
das Gemüse (nur Sing.)	овощ
der Gemüseladen,	овощной магазин
genau	именно
geöffnet	открытый
gern	охотно
der Geschäftsführer,	коммерческий директор
geschieden	разведенный
das Gespräch, -e	разговор
gestern	вчера
das Getränk, -e	напиток
das Gewicht, -e	вес
die Gitarre, -en	гитара
glauben	верить
gleich	сейчас
(der) Grad, -e	градус
das Gramm (nur Sing.)	грамм
die Grammatik, -en	грамматика
der Grill, -s	гриль
grillen	жарить на гриле
die Grillparty, -s	вечеринка с грилем
groß	большой
die Gruppe, -en	группа
der Gruß, -..e	привет
gucken	смотреть
gut	хороший
Gute Besserung!	Скорейшего выздоровления!
die Garantie, -n	гарантия
der Gärtner,	садовник
der Gast, -..e	гость
die Gebäudereinigung (Sing)	уборка помещения
die Gebrauchsanweisung, -en	руководтство по эксплуатации
das Geburtsdatum (Sing)	дата рождения
das Geburtsland, -..er	место рождения (страна рождения
das Gedicht, -e	стихотворение
gegen	против
die Geheimnummer, -n	секретный номер
gehören	принадлежать
das Geld (Sing)	денъги
das Gemüsegeschäft, -e	овощной магазин
generell	обобщенно
genug	достаточно
das Gepäck (Sing)	багаж
geradeaus	прямо
das Gerät, -e	прибор
das Geschäft, -e	магазин
das Geschlecht, -er	пол (мужско / женский)
geschlossen	закрыто
gesund	здоровый
die Gesundheit (Sing)	здоровье
das Gewitter,	гроза
gießen	лить
das Glas, -..er	стакан
das Gleis, -e	путь (ж/д)
das Glück (Sing)	удача
glücklich	счастливый
die Größe, -n	размер
der Grund, -..e	причина
die Gruppe, -n	группа
günstig	недорогой
der Gürtel,	ремень
haben	иметь
halb	половина
das Handy, -s	мобильный телефон
der Hase, -n	заяц
hässlich	некрасивый
der Hauptbahnhof, -..e	главный вокзал
der Hauptsatz, -..e	главное предложение
die Hauptstadt, -..e	столица
das Haus, -..er	дом
die Hausaufgabe, -n	домашнее задание
nach Hause	домой
die Hausnummer, -n	домашний телефон
das Heimatland, -..er	родина
heißen	называть
hell	яркий
helfen	помогать
der Herbst, -e	осень
der Herd, -e	плита
die Herkunft, -e	происхождение
heute	сегодня
hier	здесь
die Himmelsrichtung, -en	сторона света
das Hobby, -s	хобби
die Heizung, -en	отопление
der Hof, -..e	двор
hoffen	надеяться
hoffentlich	надеюсь
hören	слушать
die Höhe, -n	высота
der Hunger (nur Sing.)	голод
das Haar, -e	волос
der Hals, -..e	горло
die Halsschmerzen (Plural)	боли в горле
halten	останавливаться
die Haltestelle, -n	остановка
die Hand, -..e	кисть руки
die Handlungsanweisung, -en	руководтство к действию
die Hauptwohnung, -en	основная квартира
die Hausfrau, -en	домохозяйка
die Haushaltshilfe, -n	помощь по хозяству (домработница)
der Hausmeister,	домоуправитель
die Hausverwaltung, -en	домоуправление
das Heft, -e	тетрадь
die Heimat (Sing)	родина
heiraten	жениться
das Hemd,-en	рубашка
das Herkunftsland, -..er	страна происхождения
der Hersteller,	производитель
das Herz, -n	сердце
herhören	слушать
die Hilfe, -n	помощь
hinfahren	отвозить
hinfallen	падать
die Hochzeit, -en	свадьба
höflich	вежливый
holen	забирать
die Hose, -n	штаны
das Hotel, -s	отель
der Hund, -e	собака
die Idee, -n	идея
im Monat	в месяц
immer	всегда
die Immobilie, -n	недвижимость
in der Nacht	ночью
die Information, -en	информация
das Instrument, -e	инструмент
der Intensivkurs, -e	интенсивный курс
international	международный
italienisch	италъянский
die Immobilienverwaltung, -en	управление недвижимостью
die Informatik (Sing)	информатика
informell	неофициально
informieren	информировать
das Interesse (Sing)	интерес
das Internet (Sing)	интернет
das Jahr, -e	год
die Jahreszeit, -en	время года
japanisch	японский
jede	каждая
jetzt	сейчас
das/ der Joghurt, -s	йогурт
der Junge, -n	мальчик
die Jacke, -n	куртка
der Januar	январь
die Jeans (Plural)	джинсы
jemand	кто-то
jeweils	соответственно
der Job, -s	работа
joggen	делать пробежки (например
der Juli	июль
der Juni	июнь
der Kaffee, -s	кофе
kalt	холодный
die Kaltmiete, -n	квартплата без расходов по отоплению
das Karate (nur Sing.)	карате
das Kärtchen,	карточка
die Karte, -n	карта
die Kartoffel, -n	картофель
der Käse (nur Sing.)	сыр
das Käsebrot, -e	бутерброд с сыром
die Kasse, -n	касса
kaufen	купить
die Kaution, -en	залог
kennen	знать
das Kilo, -s	килограмм
das Kind, -er	ребенок
das Kino, -s	кино
die Klasse, -n	класс
der Kleiderschrank, -..e	платяной шкаф
die Kleinanzeige, -n	маленькое объявление
kochen	готовить
die Kohle (nur Sing.)	уголь
kommen	приходить
die Kommunikation (nur Sing.)	коммуникация
komplett	полный
