die Geschichte	история, рассказ, повесть
die Mathe(matik)	математика
die Musik	музыка
die Philosophie, -ien	философия, взгляд на жизнь
die Physik	физика
die Sport, -(e)s, -e	спорт, вид спорта, хобби, увлечение
das WC, -s	туалет
die WG, -s	группа совместно проживающих людей; коллектив жильцов
zum Beispiel	к примеру
das Baby, -s	грудной ребёнок; младенец
